['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:48:52.452662
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:48:59.104491
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:05.802433
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:12.433199
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:19.025005
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [7, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:25.660208
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:32.198809
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:38.810021
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:45.363240
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:51.945125
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [9, '3', 'Harlem-148 St']] 2021-11-25 10:49:58.545115
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:05.176434
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:11.837453
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:18.508129
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [6, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:25.321415
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:31.943276
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:38.572809
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:45.360696
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:51.810505
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:50:58.517982
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St']] 2021-11-25 10:51:05.254714
['Franklin Avenue-Medgar Evers College', [5, '4', 'Woodlawn'], [8, '3', 'Harlem-148 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:51:11.938483
['Franklin Avenue-Medgar Evers College', [5, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:51:18.677493
['Franklin Avenue-Medgar Evers College', [5, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:51:25.340057
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:51:31.976448
['Franklin Avenue-Medgar Evers College', [4, '4', 'Woodlawn'], [7, '3', 'Harlem-148 St'], [11, '4', 'Woodlawn']] 2021-11-25 10:51:38.596300
['Broadway Junction', [2, 'c', '168 St'], [3, 'a', 'Inwood-207 St'], [12, 'a', 'Inwood-207 St']] 2021-11-25 12:38:33.375184
['Broadway Junction', [2, 'c', '168 St'], [3, 'a', 'Inwood-207 St'], [12, 'a', 'Inwood-207 St']] 2021-11-25 12:38:40.040398
['Broadway Junction', [2, 'a', 'Inwood-207 St'], [2, 'c', '168 St'], [12, 'a', 'Inwood-207 St']] 2021-11-25 12:38:46.737386
