['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:46.453321
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:58:54.103726
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '5', 'Eastchester-Dyre Av'], [3, '4', 'Woodlawn']] 2021-10-25 15:59:01.043813
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '3', 'Harlem-148 St']] 2021-10-25 15:59:07.402969
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Eastchester-Dyre Av'], [3, '3', 'Harlem-148 St']] 2021-10-25 15:59:13.509600
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [2, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:59:19.623984
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [2, '5', 'Eastchester-Dyre Av']] 2021-10-25 15:59:25.633708
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '5', 'Eastchester-Dyre Av'], [2, '4', 'Woodlawn']] 2021-10-25 15:59:31.683853
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '5', 'Eastchester-Dyre Av'], [2, '4', 'Woodlawn']] 2021-10-25 15:59:37.628360
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '5', 'Eastchester-Dyre Av'], [2, '4', 'Woodlawn']] 2021-10-25 15:59:44.044031
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [2, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St']] 2021-10-25 15:59:52.040471
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [2, '4', 'Woodlawn'], [3, '3', 'Harlem-148 St']] 2021-10-25 15:59:59.084520
['Franklin Avenue-Medgar Evers College', [1, '5', 'Eastchester-Dyre Av'], [2, '3', 'Harlem-148 St'], [2, '4', 'Woodlawn']] 2021-10-25 16:00:13.894357
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [1, '5', 'Eastchester-Dyre Av'], [2, '3', 'Harlem-148 St']] 2021-10-25 16:00:20.172231
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [2, '3', 'Harlem-148 St'], [4, '2', 'Wakefield-241 St']] 2021-10-25 16:00:30.034914
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [2, '3', 'Harlem-148 St'], [4, '2', 'Wakefield-241 St']] 2021-10-25 16:00:37.283099
['Franklin Avenue-Medgar Evers College', [3, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:08:32.471799
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:08:39.726791
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:08:47.837093
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:08:53.966508
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:08:59.938074
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Nereid Av']] 2021-10-25 16:09:08.367749
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Nereid Av']] 2021-10-25 16:09:17.952888
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [5, '4', 'Woodlawn'], [7, '5', 'Nereid Av']] 2021-10-25 16:09:26.723051
['Franklin Avenue-Medgar Evers College', [2, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:09:33.314489
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [6, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:09:40.377308
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [6, '5', 'Nereid Av']] 2021-10-25 16:09:46.754727
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [4, '4', 'Woodlawn'], [6, '5', 'Nereid Av']] 2021-10-25 16:09:54.092620
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Nereid Av'], [4, '4', 'Woodlawn']] 2021-10-25 16:10:00.979115
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Nereid Av'], [4, '4', 'Woodlawn']] 2021-10-25 16:10:10.834801
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '5', 'Nereid Av'], [4, '4', 'Woodlawn']] 2021-10-25 16:10:17.360673
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [1, '5', 'Eastchester-Dyre Av'], [3, '3', 'Harlem-148 St']] 2021-10-25 16:14:47.352845
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [3, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn']] 2021-10-25 16:14:53.578291
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [3, '3', 'Harlem-148 St'], [5, '4', 'Woodlawn']] 2021-10-25 16:14:59.615983
['Franklin Avenue-Medgar Evers College', [1, '5', 'Nereid Av'], [3, '3', 'Harlem-148 St'], [4, '4', 'Woodlawn']] 2021-10-25 16:15:05.612183
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '2', 'Wakefield-241 St'], [4, '2', 'Wakefield-241 St']] 2021-10-25 16:18:34.563407
